date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:49	91737/91737	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2009:30:50%20GMT	https://www.efiletax.in/	C:/Users/devan/OneDrive/Desktop/mywebsite/www.efiletax.in/www.efiletax.in/index.html	(from )
15:00:49	64/64	---M--	200	added ('OK')	text/plain	etag:%2240-6439eb41-1083856c8423e459;;;%22	https://www.efiletax.in/robots.txt		(from )
15:00:49	2642/2642	---M--	200	added ('OK')	image/png	etag:%22a52-6439d558-8feab1298c4aaf4f;;;%22	https://www.efiletax.in/images/favicon.png	C:/Users/devan/OneDrive/Desktop/mywebsite/www.efiletax.in/www.efiletax.in/images/favicon.png	(from https://www.efiletax.in/)
15:00:50	1284/1284	---M-Z	200	added ('OK')	text/css	etag:%22504-643996f4-c45cca2a74f832cb;gz%22	https://www.efiletax.in/plugins/slick/slick.css	C:/Users/devan/OneDrive/Desktop/mywebsite/www.efiletax.in/www.efiletax.in/plugins/slick/slick.css	(from https://www.efiletax.in/)
15:00:50	102217/102217	---M-Z	200	added ('OK')	text/css	etag:%2264cac444-54a3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	C:/Users/devan/OneDrive/Desktop/mywebsite/www.efiletax.in/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	(from https://www.efiletax.in/)
15:00:50	197786/197786	---M-Z	200	added ('OK')	text/css	etag:%223049a-671278f6-59580b5b3b3fab09;gz%22	https://www.efiletax.in/css/style.css	C:/Users/devan/OneDrive/Desktop/mywebsite/www.efiletax.in/www.efiletax.in/css/style.css	(from https://www.efiletax.in/)
15:00:50	3892/3892	---M-Z	200	added ('OK')	text/css	etag:%22f34-660c239e-9b87623ab8ee3bd4;gz%22	https://www.efiletax.in/css/main.css	C:/Users/devan/OneDrive/Desktop/mywebsite/www.efiletax.in/www.efiletax.in/css/main.css	(from https://www.efiletax.in/)
15:00:51	6208/6208	---M-Z	200	added ('OK')	image/svg+xml	etag:%221840-643996f4-75e46f33a10e1dbd;gz%22	https://www.efiletax.in/images/logo.svg	C:/Users/devan/OneDrive/Desktop/mywebsite/www.efiletax.in/www.efiletax.in/images/logo.svg	(from https://www.efiletax.in/)
15:00:51	55746/55746	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2009:30:52%20GMT	https://www.efiletax.in/gst-filing	C:/Users/devan/OneDrive/Desktop/mywebsite/www.efiletax.in/www.efiletax.in/gst-filing.html	(from https://www.efiletax.in/)
15:00:51	77486/77486	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2009:30:53%20GMT	https://www.efiletax.in/gst-registration	C:/Users/devan/OneDrive/Desktop/mywebsite/www.efiletax.in/www.efiletax.in/gst-registration.html	(from https://www.efiletax.in/)
15:00:51	65230/65230	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2009:30:53%20GMT	https://www.efiletax.in/gst-monthly-filing	C:/Users/devan/OneDrive/Desktop/mywebsite/www.efiletax.in/www.efiletax.in/gst-monthly-filing.html	(from https://www.efiletax.in/)
15:00:52	65479/65479	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2009:30:53%20GMT	https://www.efiletax.in/gst-annual-return	C:/Users/devan/OneDrive/Desktop/mywebsite/www.efiletax.in/www.efiletax.in/gst-annual-return.html	(from https://www.efiletax.in/)
15:00:52	63685/63685	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2009:30:53%20GMT	https://www.efiletax.in/gst-e-invoice	C:/Users/devan/OneDrive/Desktop/mywebsite/www.efiletax.in/www.efiletax.in/gst-e-invoice.html	(from https://www.efiletax.in/)
15:00:53	58774/58774	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2009:30:54%20GMT	https://www.efiletax.in/gst-e-waybill	C:/Users/devan/OneDrive/Desktop/mywebsite/www.efiletax.in/www.efiletax.in/gst-e-waybill.html	(from https://www.efiletax.in/)
15:00:53	65742/65742	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2009:30:54%20GMT	https://www.efiletax.in/claim-gst-refund	C:/Users/devan/OneDrive/Desktop/mywebsite/www.efiletax.in/www.efiletax.in/claim-gst-refund.html	(from https://www.efiletax.in/)
